,Selected Geographies,200000-Max,Negative Income,No Income,20001-40000,60001-80000,80001-120000,120001-160000,160001-200000,1-20000,400001-60000,year
1,"Riverside County (Central)--Cathedral City, Palm Springs & Rancho Mirage Cities PUMA; California",2.0,0,1.0,2,2,2,2,2.0,1,2,2016
2,"Riverside County (Southwest)--Temecula City PUMA, California",4.0,0,1.0,3,3,3,4,4.0,2,3,2016
3,"Riverside County (Southwest)--Murrieta & Wildomar Cities PUMA, California",4.0,0,3.0,3,3,3,3,4.0,2,3,2016
4,"Riverside County (Southwest)--Menifee, Lake Elsinore & Canyon Lake Cities PUMA; California",3.0,0,2.0,2,3,3,3,4.0,2,3,2016
5,"Riverside County (Southwest)--Hemet City & East Hemet PUMA, California",5.0,0,4.0,3,3,4,3,4.0,2,3,2016
6,"Riverside County (North Central)--San Jacinto, Beaumont, Banning & Calimesa Cities PUMA; California",4.0,0,2.0,3,3,3,4,3.0,2,3,2016
7,"Riverside County (Northwest)--Moreno Valley City PUMA, California",5.0,0,1.0,4,4,4,4,4.0,3,4,2016
8,"Riverside County (West Central)--Perris City, Temescal Valley & Mead Valley PUMA; California",4.0,0,3.0,3,4,4,4,5.0,2,4,2016
9,"Riverside County (Northwest)--Riverside City (East) PUMA, California",3.0,0,2.0,3,3,4,3,3.0,2,3,2016
10,"Riverside County (Northwest)--Riverside City (West) PUMA, California",3.0,0,1.0,3,3,3,4,3.0,2,3,2016
11,"Riverside County (West Central)--Corona City (South), Woodcrest & Home Gardens PUMA; California",4.0,0,1.0,3,4,4,4,4.0,2,2,2016
12,"Riverside County (West Central)--Corona (Northwest) & Norco Cities PUMA, California",4.0,0,2.0,2,3,3,4,3.0,2,3,2016
13,"Riverside County (Northwest)--Jurupa Valley & Eastvale Cities PUMA, California",4.0,0,2.0,3,3,4,4,4.0,2,4,2016
14,"Riverside County--Palm Desert, La Quinta (West) & Desert Hot Springs Cities PUMA; California",3.0,0,1.0,2,3,2,3,3.0,1,2,2016
